,Date,Value
52,2016-01-04,"$132,375,322"
51,2016-01-11,"$90,398,317"
50,2016-01-18,"$75,141,426"
49,2016-01-25,"$46,756,747"
48,2016-02-01,"$68,380,873"
47,2016-02-08,"$26,740,157"
46,2016-02-15,"$224,355,643"
45,2016-02-22,"$115,005,560"
44,2016-02-29,"$65,057,334"
43,2016-03-07,"$112,387,294"
42,2016-03-14,"$99,786,446"
41,2016-03-21,"$82,380,261"
40,2016-03-28,"$83,571,462"
39,2016-04-04,"$87,529,243"
38,2016-04-11,"$55,373,092"
37,2016-04-18,"$71,532,829"
36,2016-04-25,"$64,823,931"
35,2016-05-02,"$100,798,302"
34,2016-05-09,"$114,090,481"
33,2016-05-16,"$56,058,335"
32,2016-05-23,"$63,063,774"
31,2016-05-30,"$52,526,441"
30,2016-06-06,"$73,387,743"
29,2016-06-13,"$87,016,498"
28,2016-06-20,"$54,080,527"
27,2016-06-27,"$103,507,573"
26,2016-07-04,"$82,652,794"
25,2016-07-11,"$121,304,280"
24,2016-07-18,"$76,223,299"
23,2016-07-25,"$82,752,156"
22,2016-08-01,"$73,068,916"
21,2016-08-08,"$105,499,960"
20,2016-08-15,"$87,890,842"
19,2016-08-22,"$62,135,762"
18,2016-08-29,"$62,451,547"
17,2016-09-05,"$52,571,877"
16,2016-09-12,"$36,640,289"
15,2016-09-19,"$54,488,709"
14,2016-09-26,"$34,407,906"
13,2016-10-03,"$80,675,800"
12,2016-10-10,"$47,941,353"
11,2016-10-17,"$52,612,875"
10,2016-10-24,"$53,671,567"
9,2016-10-31,"$43,651,443"
8,2016-11-07,"$64,964,367"
7,2016-11-14,"$55,360,718"
6,2016-11-21,"$57,009,106"
5,2016-11-28,"$71,465,965"
4,2016-12-05,"$91,671,396"
3,2016-12-12,"$65,046,451"
2,2016-12-19,"$90,617,224"
1,2016-12-26,"$108,349,687"
0,2017-01-02,"$93,348,553"
104,2017-01-09,"$57,982,236"
103,2017-01-16,"$46,651,489"
102,2017-01-23,"$32,337,481"
101,2017-01-30,"$206,666,996"
100,2017-02-06,"$151,284,278"
99,2017-02-13,"$121,121,060"
98,2017-02-20,"$70,181,541"
97,2017-02-27,"$132,826,931"
96,2017-03-06,"$92,558,879"
95,2017-03-13,"$57,185,053"
94,2017-03-20,"$69,190,615"
93,2017-03-27,"$98,441,637"
92,2017-04-03,"$60,269,240"
91,2017-04-10,"$51,779,060"
90,2017-04-17,"$201,253,023"
89,2017-04-24,"$83,675,595"
88,2017-05-01,"$101,779,732"
87,2017-05-08,"$85,143,863"
86,2017-05-15,"$68,720,315"
85,2017-05-22,"$66,594,843"
84,2017-05-29,"$89,184,815"
83,2017-06-05,"$73,486,536"
82,2017-06-12,"$86,271,551"
81,2017-06-19,"$60,191,660"
80,2017-06-26,"$132,045,118"
