,Date,Value
50,2016-01-11,"$22,346,778"
49,2016-01-18,"$17,868,311"
48,2016-01-25,"$17,342,733"
47,2016-02-01,"$18,248,725"
46,2016-02-08,"$15,531,541"
45,2016-02-15,"$23,127,587"
44,2016-02-22,"$18,018,644"
43,2016-02-29,"$15,162,439"
42,2016-03-07,"$18,388,217"
41,2016-03-14,"$13,825,318"
40,2016-03-21,"$12,466,621"
39,2016-03-28,"$17,681,124"
38,2016-04-04,"$11,454,159"
37,2016-04-11,"$9,971,616"
36,2016-04-18,"$14,176,003"
35,2016-04-25,"$2,202,373"
34,2016-05-02,"$13,123,011"
33,2016-05-16,"$2,845,174"
32,2016-05-23,"$4,341,525"
31,2016-05-30,"$7,560,600"
30,2016-06-06,"$6,048,771"
29,2016-06-13,"$1,726,456"
28,2016-06-20,"$8,248,105"
27,2016-06-27,"$7,325,591"
26,2016-07-04,"$8,346,122"
25,2016-07-11,"$4,214,819"
24,2016-07-18,"$10,992,979"
23,2016-07-25,"$10,698,072"
22,2016-08-01,"$18,459,501"
21,2016-08-08,"$13,824,826"
20,2016-08-15,"$13,379,111"
19,2016-08-22,"$16,520,367"
18,2016-08-29,"$7,080,133"
17,2016-09-05,"$9,570,007"
16,2016-09-12,"$7,042,173"
15,2016-09-19,"$11,783,009"
14,2016-09-26,"$9,151,143"
13,2016-10-03,"$18,463,083"
12,2016-10-10,"$15,610,756"
11,2016-10-17,"$14,409,346"
10,2016-10-24,"$15,497,711"
9,2016-10-31,"$15,704,118"
8,2016-11-07,"$16,386,747"
7,2016-11-14,"$13,946,509"
6,2016-11-21,"$18,515,318"
5,2016-11-28,"$12,910,541"
4,2016-12-05,"$10,943,137"
3,2016-12-12,"$13,173,471"
2,2016-12-19,"$20,425,088"
1,2016-12-26,"$11,680,255"
0,2017-01-02,"$20,677,516"
102,2017-01-09,"$21,438,305"
101,2017-01-16,"$14,613,959"
100,2017-01-23,"$12,914,227"
99,2017-01-30,"$14,452,371"
98,2017-02-06,"$13,449,434"
97,2017-02-13,"$18,206,396"
96,2017-02-20,"$16,904,215"
95,2017-02-27,"$14,317,853"
94,2017-03-06,"$14,733,493"
93,2017-03-13,"$12,094,031"
92,2017-03-20,"$18,459,028"
91,2017-03-27,"$12,443,754"
90,2017-04-03,"$10,831,281"
89,2017-04-10,"$8,512,459"
88,2017-04-17,"$23,022,862"
87,2017-04-24,"$13,659,386"
86,2017-05-01,"$16,062,252"
85,2017-05-08,"$11,882,083"
84,2017-05-15,"$8,936,874"
83,2017-05-22,"$7,437,601"
82,2017-05-29,"$11,072,659"
81,2017-06-05,"$14,166,737"
80,2017-06-12,"$9,135,543"
79,2017-06-19,"$11,148,673"
