,Date,Value
52,2016-01-04,"$13,475,517"
51,2016-01-11,"$9,523,872"
50,2016-01-18,"$9,296,574"
49,2016-01-25,"$8,862,990"
48,2016-02-01,"$9,671,540"
47,2016-02-08,"$9,716,765"
46,2016-02-15,"$11,580,312"
45,2016-02-22,"$11,247,639"
44,2016-02-29,"$9,775,219"
43,2016-03-07,"$8,444,876"
42,2016-03-14,"$8,468,664"
41,2016-03-21,"$7,610,134"
40,2016-03-28,"$9,093,794"
39,2016-04-04,"$6,425,807"
38,2016-04-11,"$7,141,565"
37,2016-04-18,"$8,952,451"
36,2016-04-25,"$6,831,528"
35,2016-05-02,"$9,428,917"
34,2016-05-09,"$7,101,281"
33,2016-05-16,"$6,852,114"
32,2016-05-23,"$5,613,515"
31,2016-05-30,"$4,804,110"
30,2016-06-06,"$6,122,097"
29,2016-06-13,"$3,880,187"
28,2016-06-20,"$5,082,368"
27,2016-06-27,"$6,937,515"
26,2016-07-04,"$7,380,247"
25,2016-07-11,"$5,799,173"
24,2016-07-18,"$6,566,721"
23,2016-07-25,"$6,694,779"
22,2016-08-01,"$7,020,475"
21,2016-08-08,"$10,796,808"
20,2016-08-15,"$6,324,973"
19,2016-08-22,"$6,984,358"
18,2016-08-29,"$6,809,137"
17,2016-09-05,"$6,948,171"
16,2016-09-12,"$5,732,201"
15,2016-09-19,"$6,503,436"
14,2016-09-26,"$6,311,486"
13,2016-10-03,"$7,604,644"
12,2016-10-10,"$9,738,241"
11,2016-10-17,"$10,365,307"
10,2016-10-24,"$9,125,994"
9,2016-10-31,"$10,012,068"
8,2016-11-07,"$10,007,024"
7,2016-11-14,"$8,088,013"
6,2016-11-21,"$9,936,262"
5,2016-11-28,"$7,725,061"
4,2016-12-05,"$8,533,808"
3,2016-12-12,"$7,038,844"
2,2016-12-19,"$9,082,621"
1,2016-12-26,"$7,796,206"
0,2017-01-02,"$7,854,983"
104,2017-01-09,"$10,156,150"
103,2017-01-16,"$9,008,809"
102,2017-01-23,"$8,371,643"
101,2017-01-30,"$10,002,586"
100,2017-02-06,"$9,063,635"
99,2017-02-13,"$12,610,557"
98,2017-02-20,"$10,338,522"
97,2017-02-27,"$7,896,286"
96,2017-03-06,"$10,251,129"
95,2017-03-13,"$7,654,899"
94,2017-03-20,"$10,571,196"
93,2017-03-27,"$10,089,218"
92,2017-04-03,"$9,130,022"
91,2017-04-10,"$6,055,503"
90,2017-04-17,"$14,660,667"
89,2017-04-24,"$6,273,263"
88,2017-05-01,"$10,090,687"
87,2017-05-08,"$4,657,774"
86,2017-05-15,"$5,409,461"
85,2017-05-22,"$4,408,013"
84,2017-05-29,"$6,613,817"
83,2017-06-05,"$4,973,862"
82,2017-06-12,"$6,108,850"
81,2017-06-19,"$5,266,127"
80,2017-06-26,"$6,507,716"
79,2017-07-03,"$9,563,279"
78,2017-07-10,"$7,103,482"
77,2017-07-17,"$8,546,900"
76,2017-07-24,"$7,202,292"
75,2017-07-31,"$5,953,977"
74,2017-08-07,"$6,539,279"
73,2017-08-14,"$5,575,376"
72,2017-08-21,"$5,532,582"
71,2017-08-28,"$7,957,415"
70,2017-09-04,"$7,339,611"
69,2017-09-11,"$8,748,484"
68,2017-09-18,"$6,802,219"
67,2017-09-25,"$6,996,154"
66,2017-10-02,"$6,397,568"
65,2017-10-09,"$7,795,737"
64,2017-10-16,"$7,088,938"
63,2017-10-23,"$6,746,306"
62,2017-10-30,"$8,251,348"
61,2017-11-06,"$7,422,454"
60,2017-11-13,"$6,701,205"
59,2017-11-20,"$7,543,440"
58,2017-11-27,"$6,566,512"
57,2017-12-04,"$10,447,266"
56,2017-12-11,"$11,765,285"
55,2017-12-18,"$14,423,623"
54,2017-12-25,"$7,992,647"
53,2018-01-01,"$8,965,250"
156,2018-01-08,"$9,354,793"
155,2018-01-15,"$10,473,128"
154,2018-01-22,"$9,314,254"
153,2018-01-29,"$9,763,375"
152,2018-02-05,"$9,031,379"
151,2018-02-12,"$11,930,579"
150,2018-02-19,"$12,196,306"
149,2018-02-26,"$8,809,430"
148,2018-03-05,"$10,375,710"
147,2018-03-12,"$9,817,514"
146,2018-03-19,"$8,940,904"
145,2018-03-26,"$9,015,004"
144,2018-04-02,"$9,813,477"
143,2018-04-09,"$8,763,491"
142,2018-04-16,"$7,928,924"
141,2018-04-23,"$6,093,244"
140,2018-04-30,"$13,784,950"
139,2018-05-07,"$6,674,970"
138,2018-05-14,"$6,376,496"
137,2018-05-21,"$8,084,495"
136,2018-05-28,"$6,639,698"
135,2018-06-04,"$5,748,142"
134,2018-06-11,"$11,336,976"
133,2018-06-18,"$5,431,701"
132,2018-06-25,"$4,098,720"
131,2018-07-02,"$3,927,297"
130,2018-07-09,"$6,632,919"
129,2018-07-16,"$7,295,897"
128,2018-07-23,"$7,606,118"
127,2018-07-30,"$6,346,080"
126,2018-08-06,"$8,390,409"
125,2018-08-13,"$7,984,025"
124,2018-08-20,"$6,454,297"
123,2018-08-27,"$6,290,031"
122,2018-09-03,"$5,880,310"
121,2018-09-10,"$8,233,530"
120,2018-09-17,"$7,373,700"
119,2018-09-24,"$5,903,993"
118,2018-10-01,"$4,903,456"
117,2018-10-08,"$6,181,237"
116,2018-10-15,"$10,398,497"
115,2018-10-22,"$6,917,770"
114,2018-10-29,"$6,971,304"
113,2018-11-05,"$12,751,691"
112,2018-11-12,"$8,585,328"
111,2018-11-19,"$10,616,836"
110,2018-11-26,"$8,582,765"
109,2018-12-03,"$9,376,929"
108,2018-12-10,"$10,995,859"
107,2018-12-17,"$7,179,285"
106,2018-12-24,"$9,615,497"
105,2018-12-31,"$10,786,725"
208,2019-01-07,"$5,903,124"
207,2019-01-14,"$7,133,423"
206,2019-01-21,"$8,248,330"
205,2019-01-28,"$8,503,403"
204,2019-02-04,"$9,143,777"
203,2019-02-11,"$7,213,495"
202,2019-02-18,"$7,483,926"
201,2019-02-25,"$7,493,525"
200,2019-03-04,"$6,027,531"
199,2019-03-11,"$9,917,055"
198,2019-03-18,"$7,474,415"
197,2019-03-25,"$7,430,756"
196,2019-04-01,"$8,720,679"
195,2019-04-08,"$9,443,879"
194,2019-04-15,"$8,789,043"
193,2019-04-22,"$10,549,496"
192,2019-04-29,"$17,296,269"
191,2019-05-06,"$7,494,678"
190,2019-05-13,"$6,977,281"
189,2019-05-20,"$5,676,639"
188,2019-05-27,"$8,094,929"
187,2019-06-03,"$5,955,764"
186,2019-06-10,"$6,395,012"
185,2019-06-17,"$4,833,276"
184,2019-06-24,"$6,811,921"
183,2019-07-01,"$6,004,604"
182,2019-07-08,"$8,797,805"
181,2019-07-15,"$6,837,606"
180,2019-07-22,"$11,789,203"
179,2019-07-29,"$9,116,894"
178,2019-08-05,"$8,331,185"
177,2019-08-12,"$8,450,974"
176,2019-08-19,"$7,112,593"
175,2019-08-26,"$5,918,794"
174,2019-09-02,"$6,450,645"
173,2019-09-09,"$7,324,592"
172,2019-09-16,"$6,143,993"
171,2019-09-23,"$7,412,388"
170,2019-09-30,"$6,315,175"
169,2019-10-07,"$10,600,731"
168,2019-10-14,"$11,473,295"
167,2019-10-21,"$7,669,052"
166,2019-10-28,"$4,956,699"
165,2019-11-04,"$13,435,831"
164,2019-11-11,"$8,080,760"
163,2019-11-18,"$8,444,477"
162,2019-11-25,"$11,725,407"
161,2019-12-02,"$8,674,081"
160,2019-12-09,"$10,359,810"
159,2019-12-16,"$7,088,318"
158,2019-12-23,"$11,209,530"
157,2019-12-30,"$10,682,533"
245,2020-01-06,"$7,285,959"
244,2020-01-13,"$7,010,324"
243,2020-01-20,"$9,070,095"
242,2020-01-27,"$8,243,339"
241,2020-02-03,"$7,295,555"
240,2020-02-10,"$7,818,292"
239,2020-02-17,"$8,880,553"
238,2020-02-24,"$5,857,682"
237,2020-03-02,"$5,984,109"
236,2020-03-09,"$6,589,772"
235,2020-03-16,"$10,194"
234,2020-06-15,"$11,987"
233,2020-06-22,"$16,015"
232,2020-06-29,$782
231,2020-07-06,"$37,282"
230,2020-07-13,"$29,601"
229,2020-07-20,"$14,136"
228,2020-07-27,"$866,903"
227,2020-08-03,"$2,432,322"
226,2020-08-10,"$1,825,562"
225,2020-08-17,"$1,119,991"
224,2020-08-24,"$89,078"
223,2020-08-31,"$1,225,180"
222,2020-09-07,"$177,295"
221,2020-09-14,"$459,166"
220,2020-09-21,"$429,359"
219,2020-09-28,"$143,810"
218,2020-10-05,"$106,052"
217,2020-10-12,"$385,070"
216,2020-10-19,"$333,274"
215,2020-10-26,"$46,874"
214,2020-11-02,"$436,624"
213,2020-11-23,$33
212,2020-12-07,"$141,385"
211,2020-12-14,"$81,578"
210,2020-12-21,"$1,103,212"
209,2020-12-28,"$69,314"
297,2021-01-04,"$60,847"
296,2021-01-11,"$16,586"
295,2021-01-18,"$10,071"
294,2021-01-25,"$6,503"
293,2021-02-01,"$4,977"
292,2021-02-08,"$4,313"
291,2021-02-15,"$5,275"
290,2021-03-01,"$157,211"
289,2021-03-08,"$538,220"
288,2021-03-15,"$288,730"
287,2021-03-22,"$456,305"
286,2021-03-29,"$117,041"
285,2021-04-05,"$257,192"
284,2021-04-12,"$132,854"
283,2021-04-19,"$66,926"
282,2021-04-26,"$70,216"
281,2021-05-03,"$63,836"
280,2021-05-10,"$120,051"
279,2021-05-17,"$147,438"
278,2021-05-24,"$413,214"
277,2021-05-31,"$2,060,936"
276,2021-06-07,"$2,851,043"
275,2021-06-14,"$223,748"
274,2021-06-21,"$2,423,086"
273,2021-06-28,"$2,454,399"
272,2021-07-05,"$4,995,708"
271,2021-07-12,"$5,760,533"
270,2021-07-19,"$4,236,068"
269,2021-07-26,"$4,112,604"
268,2021-08-02,"$4,842,261"
267,2021-08-09,"$572,043"
266,2021-08-16,"$3,420,262"
265,2021-08-23,"$3,269,924"
264,2021-08-30,"$3,582,391"
263,2021-09-06,"$5,463,922"
262,2021-09-13,"$4,646,782"
261,2021-09-20,"$3,175,019"
260,2021-09-27,"$4,246,194"
259,2021-10-04,"$3,254,875"
258,2021-10-11,"$5,395,777"
257,2021-10-18,"$464,447"
256,2021-10-25,"$5,325,012"
255,2021-11-01,"$1,614,815"
254,2021-11-08,"$6,007,861"
253,2021-11-15,"$5,844,905"
252,2021-11-22,"$1,523,390"
251,2021-11-29,"$5,124,627"
250,2021-12-06,"$5,341,964"
249,2021-12-13,"$3,076,176"
248,2021-12-20,"$10,212,822"
247,2021-12-27,"$5,822,254"
246,2022-01-03,"$4,368,131"
316,2022-01-10,"$4,944,687"
315,2022-01-17,"$3,890,898"
314,2022-01-24,"$958,102"
313,2022-01-31,"$3,732,103"
312,2022-02-07,"$4,588,344"
311,2022-02-14,"$6,197,713"
310,2022-02-21,"$5,421,724"
309,2022-02-28,"$4,539,175"
308,2022-03-07,"$6,710,286"
307,2022-03-14,"$5,419,584"
306,2022-03-21,"$5,162,152"
305,2022-03-28,"$4,467,820"
304,2022-04-04,"$7,228,288"
303,2022-04-11,"$9,987,389"
302,2022-04-18,"$4,274,929"
301,2022-04-25,"$4,343,218"
300,2022-05-02,"$3,262,036"
299,2022-05-09,"$7,711,478"
298,2022-05-16,"$2,258,448"
