,Date,Value
52,2016-01-04,"$30,113,576"
51,2016-01-11,"$23,909,503"
50,2016-01-18,"$24,542,591"
49,2016-01-25,"$21,463,450"
48,2016-02-01,"$18,500,061"
47,2016-02-08,"$17,019,393"
46,2016-02-15,"$38,511,142"
45,2016-02-22,"$25,784,705"
44,2016-02-29,"$13,992,996"
43,2016-03-07,"$14,156,350"
42,2016-03-14,"$18,691,334"
41,2016-03-21,"$12,587,816"
40,2016-03-28,"$35,921,795"
39,2016-04-04,"$19,287,452"
38,2016-04-11,"$16,565,567"
37,2016-04-18,"$23,765,173"
36,2016-04-25,"$19,350,280"
35,2016-05-02,"$34,055,286"
34,2016-05-09,"$15,884,685"
33,2016-05-16,"$13,760,132"
32,2016-05-23,"$21,529,240"
31,2016-05-30,"$13,871,333"
30,2016-06-06,"$22,748,193"
29,2016-06-13,"$11,688,248"
28,2016-06-20,"$14,279,592"
27,2016-06-27,"$26,093,647"
26,2016-07-04,"$21,551,058"
25,2016-07-11,"$22,272,942"
24,2016-07-18,"$19,692,017"
23,2016-07-25,"$23,502,100"
22,2016-08-01,"$31,208,384"
21,2016-08-08,"$28,040,272"
20,2016-08-15,"$18,591,624"
19,2016-08-22,"$19,720,180"
18,2016-08-29,"$15,106,193"
17,2016-09-05,"$16,911,490"
16,2016-09-12,"$12,666,967"
15,2016-09-19,"$19,182,826"
14,2016-09-26,"$17,013,089"
13,2016-10-03,"$18,353,732"
12,2016-10-10,"$18,888,419"
11,2016-10-17,"$19,027,556"
10,2016-10-24,"$20,420,903"
9,2016-10-31,"$24,618,738"
8,2016-11-07,"$16,340,554"
7,2016-11-14,"$15,087,729"
6,2016-11-21,"$26,088,317"
5,2016-11-28,"$18,877,285"
4,2016-12-05,"$15,332,496"
3,2016-12-12,"$11,684,148"
2,2016-12-19,"$27,827,747"
1,2016-12-26,"$8,346,092"
0,2017-01-02,"$21,905,328"
104,2017-01-09,"$21,368,085"
103,2017-01-16,"$19,738,247"
102,2017-01-23,"$17,235,297"
101,2017-01-30,"$26,266,703"
100,2017-02-06,"$18,524,859"
99,2017-02-13,"$29,333,827"
98,2017-02-20,"$24,883,622"
97,2017-02-27,"$16,229,106"
96,2017-03-06,"$21,501,396"
95,2017-03-13,"$18,582,583"
94,2017-03-20,"$35,512,077"
93,2017-03-27,"$23,835,978"
92,2017-04-03,"$18,777,299"
91,2017-04-10,"$19,808,257"
90,2017-04-17,"$30,511,698"
89,2017-04-24,"$13,446,038"
88,2017-05-01,"$25,181,633"
87,2017-05-08,"$14,270,147"
86,2017-05-15,"$14,821,513"
85,2017-05-22,"$12,427,433"
84,2017-05-29,"$12,319,735"
83,2017-06-05,"$21,457,910"
82,2017-06-12,"$15,033,121"
81,2017-06-19,"$7,979,323"
80,2017-06-26,"$13,191,820"
79,2017-07-03,"$26,339,902"
78,2017-07-10,"$23,373,435"
77,2017-07-17,"$25,416,513"
76,2017-07-24,"$27,248,853"
75,2017-07-31,"$26,701,416"
74,2017-08-07,"$20,625,392"
73,2017-08-14,"$15,743,221"
72,2017-08-21,"$14,799,880"
71,2017-08-28,"$10,775,832"
70,2017-09-04,"$10,712,318"
69,2017-09-11,"$20,266,785"
68,2017-09-18,"$16,853,075"
67,2017-09-25,"$20,242,035"
66,2017-10-02,"$14,335,539"
65,2017-10-09,"$15,633,094"
64,2017-10-16,"$17,328,663"
63,2017-10-23,"$15,228,860"
62,2017-10-30,"$26,666,225"
61,2017-11-06,"$20,846,032"
60,2017-11-13,"$25,953,495"
59,2017-11-20,"$25,553,243"
58,2017-11-27,"$23,731,482"
57,2017-12-04,"$14,457,631"
56,2017-12-11,"$8,393,949"
55,2017-12-18,"$42,685,242"
54,2017-12-25,"$39,922,932"
53,2018-01-01,"$33,536,057"
156,2018-01-08,"$24,301,472"
155,2018-01-15,"$24,167,234"
154,2018-01-22,"$26,423,957"
153,2018-01-29,"$27,338,372"
152,2018-02-05,"$21,149,378"
151,2018-02-12,"$23,426,550"
150,2018-02-19,"$43,312,778"
149,2018-02-26,"$23,923,359"
148,2018-03-05,"$18,415,501"
147,2018-03-12,"$16,652,186"
146,2018-03-19,"$19,868,284"
145,2018-03-26,"$18,449,431"
144,2018-04-02,"$26,353,798"
143,2018-04-09,"$20,757,116"
142,2018-04-16,"$20,696,732"
141,2018-04-23,"$9,357,965"
140,2018-04-30,"$48,932,271"
139,2018-05-07,"$18,870,849"
138,2018-05-14,"$17,030,594"
137,2018-05-21,"$23,978,080"
136,2018-05-28,"$18,435,513"
135,2018-06-04,"$14,379,426"
134,2018-06-11,"$20,680,956"
133,2018-06-18,"$18,563,627"
132,2018-06-25,"$13,913,134"
131,2018-07-02,"$9,413,808"
130,2018-07-09,"$7,936,911"
129,2018-07-16,"$19,526,822"
128,2018-07-23,"$26,461,044"
127,2018-07-30,"$32,218,637"
126,2018-08-06,"$20,178,618"
125,2018-08-13,"$21,524,963"
124,2018-08-20,"$21,184,250"
123,2018-08-27,"$19,737,883"
122,2018-09-03,"$13,119,499"
121,2018-09-10,"$15,177,092"
120,2018-09-17,"$14,316,963"
119,2018-09-24,"$16,436,757"
118,2018-10-01,"$11,555,629"
117,2018-10-08,"$23,716,730"
116,2018-10-15,"$22,294,543"
115,2018-10-22,"$19,013,519"
114,2018-10-29,"$24,862,309"
113,2018-11-05,"$20,142,269"
112,2018-11-12,"$23,525,399"
111,2018-11-19,"$30,180,695"
110,2018-11-26,"$20,255,934"
109,2018-12-03,"$21,104,759"
108,2018-12-10,"$13,560,834"
107,2018-12-17,"$16,948,762"
106,2018-12-24,"$21,421,764"
105,2018-12-31,"$27,080,423"
208,2019-01-07,"$21,315,441"
207,2019-01-14,"$18,502,905"
206,2019-01-21,"$19,022,699"
205,2019-01-28,"$17,900,306"
204,2019-02-04,"$18,206,358"
203,2019-02-11,"$19,476,753"
202,2019-02-18,"$16,624,434"
201,2019-02-25,"$14,199,183"
200,2019-03-04,"$13,666,579"
199,2019-03-11,"$23,764,657"
198,2019-03-18,"$16,654,255"
197,2019-03-25,"$13,972,398"
196,2019-04-01,"$15,640,314"
195,2019-04-08,"$18,115,632"
194,2019-04-15,"$15,862,330"
193,2019-04-22,"$8,023,689"
192,2019-04-29,"$61,427,941"
191,2019-05-06,"$23,686,304"
190,2019-05-13,"$16,460,102"
189,2019-05-20,"$14,842,667"
188,2019-05-27,"$23,964,949"
187,2019-06-03,"$20,951,318"
186,2019-06-10,"$23,389,870"
185,2019-06-17,"$15,712,690"
184,2019-06-24,"$24,070,540"
183,2019-07-01,"$18,183,941"
182,2019-07-08,"$24,632,616"
181,2019-07-15,"$17,769,191"
180,2019-07-22,"$31,805,033"
179,2019-07-29,"$24,840,355"
178,2019-08-05,"$20,120,125"
177,2019-08-12,"$16,854,895"
176,2019-08-19,"$18,050,311"
175,2019-08-26,"$11,950,069"
174,2019-09-02,"$11,786,096"
173,2019-09-09,"$16,347,976"
172,2019-09-16,"$15,996,284"
171,2019-09-23,"$14,251,345"
