,Date,Value
47,2016-01-11,"$3,064,395"
46,2016-01-18,"$3,155,107"
45,2016-01-25,"$2,501,619"
44,2016-02-01,"$2,010,117"
43,2016-02-08,"$1,722,101"
42,2016-02-15,"$7,779,860"
41,2016-02-22,"$4,242,022"
40,2016-02-29,"$3,351,168"
39,2016-03-07,"$3,250,854"
38,2016-03-14,"$2,324,488"
37,2016-03-21,"$2,315,643"
36,2016-03-28,"$6,514,180"
35,2016-04-04,"$3,032,356"
34,2016-04-11,"$2,861,684"
33,2016-04-18,"$2,183,826"
32,2016-05-16,"$399,032"
31,2016-05-23,"$2,965,265"
30,2016-06-06,-
29,2016-06-13,"$2,725,595"
28,2016-06-20,"$2,539,858"
27,2016-06-27,"$3,704,878"
26,2016-07-04,"$3,709,804"
25,2016-07-11,"$891,300"
24,2016-07-18,"$3,540,339"
23,2016-07-25,"$3,019,895"
22,2016-08-01,"$3,142,457"
21,2016-08-08,"$1,484,627"
20,2016-08-15,"$863,562"
19,2016-08-22,"$896,106"
18,2016-08-29,"$286,038"
17,2016-09-05,"$454,777"
16,2016-09-12,"$222,929"
15,2016-09-19,"$1,300,024"
14,2016-09-26,"$313,593"
13,2016-10-03,"$2,269,007"
12,2016-10-10,"$1,481,661"
11,2016-10-17,"$1,168,642"
10,2016-10-24,"$1,519,475"
9,2016-10-31,"$3,522,251"
8,2016-11-07,"$2,944,780"
7,2016-11-14,"$1,514,398"
6,2016-11-21,"$439,587"
5,2016-11-28,"$228,629"
4,2016-12-05,"$952,926"
3,2016-12-12,"$858,471"
2,2016-12-19,"$2,215,482"
1,2016-12-26,"$2,193,187"
0,2017-01-02,"$2,875,794"
99,2017-01-09,"$1,851,867"
98,2017-01-16,"$1,681,019"
97,2017-01-23,"$2,172,430"
96,2017-01-30,"$4,053,435"
95,2017-02-06,"$3,431,773"
94,2017-02-13,"$2,364,053"
93,2017-02-20,"$1,657,095"
92,2017-02-27,"$1,316,066"
91,2017-03-06,"$2,595,613"
90,2017-03-13,"$1,383,164"
89,2017-03-20,"$3,726,275"
88,2017-03-27,"$3,239,429"
87,2017-04-03,"$2,455,898"
86,2017-04-10,"$1,004,676"
85,2017-04-17,"$6,434,126"
84,2017-04-24,"$2,424,001"
83,2017-05-01,"$2,520,347"
82,2017-05-08,"$1,251,711"
81,2017-05-15,"$2,103,340"
80,2017-05-22,"$1,360,042"
79,2017-05-29,"$2,331,119"
78,2017-06-05,"$1,555,442"
77,2017-06-12,"$2,647,312"
76,2017-06-19,"$1,334,687"
75,2017-06-26,"$2,876,237"
74,2017-07-03,"$4,259,583"
73,2017-07-10,"$4,841,289"
72,2017-07-17,"$4,892,745"
71,2017-07-24,"$2,477,404"
70,2017-07-31,"$2,172,031"
69,2017-08-07,"$1,392,290"
68,2017-08-14,"$1,578,265"
67,2017-08-21,"$240,530"
66,2017-08-28,"$255,868"
65,2017-09-04,"$366,516"
64,2017-09-11,"$1,306,685"
63,2017-09-18,"$556,960"
62,2017-09-25,"$2,100,410"
61,2017-10-02,"$1,244,195"
60,2017-10-09,"$1,711,639"
59,2017-10-16,"$239,346"
58,2017-10-23,"$369,743"
57,2017-10-30,"$3,286,650"
56,2017-11-06,"$1,906,646"
55,2017-11-13,"$1,169,308"
54,2017-11-20,"$352,151"
53,2017-11-27,"$384,676"
52,2017-12-04,"$1,585,030"
51,2017-12-11,"$1,031,740"
50,2017-12-18,"$3,228,187"
49,2017-12-25,"$1,650,401"
48,2018-01-01,"$3,504,387"
111,2018-01-08,"$2,170,743"
110,2018-01-15,"$1,350,532"
109,2018-01-22,"$820,824"
108,2018-01-29,"$2,052,868"
107,2018-02-05,"$1,726,865"
106,2018-02-12,"$1,173,063"
105,2018-02-19,"$4,617,655"
104,2018-02-26,"$2,220,615"
103,2018-03-05,"$1,642,173"
102,2018-03-12,"$771,365"
101,2018-03-19,"$330,459"
100,2018-04-02,"$1,896,758"
122,2019-10-21,"$3,422,530"
121,2019-10-28,"$2,753,332"
120,2019-11-04,"$3,209,574"
119,2019-11-11,"$2,118,504"
118,2019-11-18,"$1,025,588"
117,2019-11-25,"$2,590,809"
116,2019-12-02,"$3,038,094"
115,2019-12-09,"$2,341,536"
114,2019-12-16,"$2,776,609"
113,2019-12-23,"$4,347,996"
112,2019-12-30,"$4,811,141"
163,2020-01-06,"$2,906,802"
162,2020-01-13,"$2,365,907"
161,2020-01-20,"$1,250,559"
160,2020-01-27,"$1,602,003"
159,2020-02-03,"$726,027"
158,2020-02-10,"$317,651"
157,2020-02-17,"$428,165"
156,2020-02-24,"$113,846"
155,2020-03-02,"$48,707"
154,2020-03-09,"$1,018,341"
153,2020-03-16,"$200,285"
152,2020-03-23,"$830,749"
151,2020-03-30,"$456,815"
150,2020-05-25,"$1,333,997"
149,2020-06-01,-
148,2020-06-08,"$886,982"
147,2020-06-15,"$770,973"
146,2020-06-22,"$820,817"
145,2020-06-29,"$1,208,129"
144,2020-07-06,"$1,342,548"
143,2020-07-13,"$1,211,133"
142,2020-07-20,"$228,139"
141,2020-08-31,"$9,880"
140,2020-09-07,"$1,596,116"
139,2020-09-14,"$2,630,283"
138,2020-09-21,"$2,971,724"
137,2020-09-28,"$2,257,864"
136,2020-10-05,"$24,620"
135,2020-10-12,"$1,447,402"
134,2020-10-19,"$1,371,584"
133,2020-10-26,"$944,710"
132,2020-11-02,"$1,191,231"
131,2020-11-09,"$791,215"
130,2020-11-16,"$2,280,888"
129,2020-11-23,"$1,671,532"
128,2020-11-30,"$47,913"
127,2020-12-07,"$197,474"
126,2020-12-14,-
125,2020-12-21,-
124,2020-12-28,-
123,2021-01-04,-
215,2021-01-11,-
214,2021-01-18,"$8,036"
213,2021-01-25,$578
212,2021-02-01,-
211,2021-02-08,"$5,490"
210,2021-02-15,"$9,378"
209,2021-02-22,"$2,159,871"
208,2021-03-01,"$2,723,797"
207,2021-03-08,"$2,211,353"
206,2021-03-15,"$1,895,280"
205,2021-03-22,"$1,643,431"
204,2021-03-29,"$270,204"
203,2021-04-05,"$3,960,144"
202,2021-04-12,"$3,398,171"
201,2021-04-19,"$1,643,392"
200,2021-04-26,"$1,000,279"
199,2021-05-03,"$1,404,285"
198,2021-05-10,$445
197,2021-05-17,"$950,228"
196,2021-05-24,"$3,093,424"
195,2021-05-31,"$2,373,091"
194,2021-06-07,"$2,075,212"
193,2021-06-14,"$2,437,801"
192,2021-06-21,"$273,375"
191,2021-06-28,"$1,998,683"
190,2021-07-05,"$2,096,926"
189,2021-07-12,"$4,073,785"
188,2021-07-19,"$3,393,166"
187,2021-07-26,"$2,781,737"
186,2021-08-02,"$1,358,814"
185,2021-08-09,"$2,427,985"
184,2021-08-16,"$3,089,351"
183,2021-08-23,"$3,170,981"
182,2021-08-30,"$3,525,542"
181,2021-09-06,"$4,233,013"
180,2021-09-13,"$5,911,126"
179,2021-09-20,"$3,200,080"
178,2021-09-27,"$2,614,938"
177,2021-10-04,"$4,271,906"
176,2021-10-11,"$137,379"
175,2021-10-18,"$4,111,524"
174,2021-10-25,"$2,203,978"
173,2021-11-01,"$1,617,033"
172,2021-11-08,"$4,194,440"
171,2021-11-15,"$3,637,868"
170,2021-11-22,"$4,498,295"
169,2021-11-29,"$3,564,285"
168,2021-12-06,"$2,769,738"
167,2021-12-13,"$1,781,984"
166,2021-12-20,"$6,767,679"
165,2021-12-27,"$8,357,561"
164,2022-01-03,"$6,087,980"
267,2022-01-10,"$1,442,620"
266,2022-01-17,"$10,856"
265,2022-01-24,"$6,972"
264,2022-01-31,"$4,895"
263,2022-02-07,"$3,616"
262,2022-02-14,"$2,663"
261,2022-02-21,$842
260,2022-02-28,$826
259,2022-03-07,"$21,294"
258,2022-03-14,"$8,625"
257,2022-03-21,"$3,676"
256,2022-03-28,"$3,409"
255,2022-04-04,"$2,289"
254,2022-04-11,$498
253,2022-04-18,$814
252,2022-04-25,"$211,582"
251,2022-05-02,"$2,698,739"
250,2022-05-09,"$4,196,475"
249,2022-05-16,"$3,861,630"
248,2022-05-23,"$665,236"
247,2022-05-30,"$4,001,143"
246,2022-06-06,"$3,283,837"
245,2022-06-13,"$4,660,048"
244,2022-06-20,"$3,668,158"
243,2022-06-27,"$3,313,711"
242,2022-07-04,"$4,466,674"
241,2022-07-11,"$4,842,663"
240,2022-07-18,"$1,773,459"
239,2022-07-25,"$2,868,128"
238,2022-08-01,"$2,555,433"
237,2022-08-08,"$2,670,466"
236,2022-08-15,"$3,497,769"
235,2022-08-22,"$3,213,642"
234,2022-08-29,"$4,776,388"
233,2022-09-05,"$4,262,573"
232,2022-09-12,"$3,465,415"
231,2022-09-19,"$4,006,094"
230,2022-09-26,"$3,044,924"
229,2022-10-03,"$609,191"
228,2022-10-10,"$2,669,564"
227,2022-10-17,"$1,965,171"
226,2022-10-24,"$2,446,195"
225,2022-10-31,"$2,144,757"
224,2022-11-07,"$2,067,109"
223,2022-11-14,"$4,505,280"
222,2022-11-21,"$3,338,225"
221,2022-11-28,"$2,526,533"
220,2022-12-05,"$1,971,937"
219,2022-12-12,"$385,563"
218,2022-12-19,"$4,453,564"
217,2022-12-26,"$3,635,490"
216,2023-01-02,"$5,954,640"
