,Date,Value
50,2016-01-04,"$1,000,672"
49,2016-01-11,"$561,655"
48,2016-01-18,"$10,936,280"
47,2016-01-25,"$13,146,180"
46,2016-02-01,"$15,968,750"
45,2016-02-08,"$14,226,214"
44,2016-02-15,"$10,875,011"
43,2016-02-22,"$9,989,360"
42,2016-02-29,"$10,033,741"
41,2016-03-07,"$12,823,347"
40,2016-03-28,"$18,932,221"
39,2016-04-04,"$13,115,144"
38,2016-04-11,"$9,143,608"
37,2016-04-18,"$21,173,470"
36,2016-04-25,"$19,145,295"
35,2016-05-02,"$23,643,802"
34,2016-05-09,"$16,174,513"
33,2016-05-16,"$15,180,030"
32,2016-05-23,"$13,067,603"
31,2016-05-30,"$12,402,529"
30,2016-06-06,"$18,560,432"
29,2016-06-13,"$14,531,103"
28,2016-06-20,"$13,421,067"
27,2016-06-27,"$11,658,498"
26,2016-07-04,"$11,844,978"
25,2016-07-11,"$15,069,434"
24,2016-07-18,"$22,523,851"
23,2016-07-25,"$22,282,600"
22,2016-08-01,"$21,043,503"
21,2016-08-08,"$19,689,193"
20,2016-08-15,"$33,094,264"
19,2016-08-22,"$19,925,864"
18,2016-08-29,"$27,870,475"
17,2016-09-05,"$24,595,686"
16,2016-09-12,"$27,322,638"
15,2016-09-19,"$26,423,194"
14,2016-09-26,"$21,388,377"
13,2016-10-03,"$19,360,908"
12,2016-10-10,"$20,894,444"
11,2016-10-17,"$12,118,987"
10,2016-10-24,"$12,952,156"
9,2016-10-31,"$17,909,817"
8,2016-11-07,"$12,387,638"
7,2016-11-14,"$12,580,411"
6,2016-11-21,"$10,003,409"
5,2016-11-28,"$14,574,419"
4,2016-12-05,"$12,135,097"
3,2016-12-12,"$10,266,328"
2,2016-12-19,"$22,637,675"
1,2016-12-26,"$20,730,094"
0,2017-01-02,"$13,046,152"
102,2017-01-09,"$14,660,793"
101,2017-01-16,"$10,757,765"
100,2017-01-23,"$10,368,915"
99,2017-01-30,"$13,757,669"
98,2017-02-06,"$11,728,712"
97,2017-02-13,"$12,664,514"
96,2017-02-20,"$12,841,502"
95,2017-02-27,"$14,996,289"
94,2017-03-06,"$16,993,280"
93,2017-03-13,"$18,109,410"
92,2017-03-20,"$23,085,246"
91,2017-03-27,"$21,965,323"
90,2017-04-03,"$18,458,239"
89,2017-04-10,"$16,332,689"
88,2017-04-17,"$5,647,316"
87,2017-04-24,"$23,651,900"
86,2017-05-01,"$31,035,660"
85,2017-05-08,"$25,259,254"
84,2017-05-15,"$15,878,645"
83,2017-05-22,"$14,305,047"
82,2017-05-29,"$11,393,770"
81,2017-06-05,"$10,908,982"
80,2017-06-12,"$12,690,531"
79,2017-06-19,"$12,085,063"
78,2017-06-26,"$9,938,315"
77,2017-07-03,"$20,851,095"
76,2017-07-10,"$17,448,512"
75,2017-07-17,"$27,363,405"
74,2017-07-24,"$22,080,175"
73,2017-07-31,"$22,804,894"
72,2017-08-07,"$19,877,867"
71,2017-08-14,"$21,286,473"
70,2017-08-21,"$17,392,348"
69,2017-08-28,"$16,032,865"
68,2017-09-04,"$12,147,551"
67,2017-09-11,"$11,567,507"
66,2017-09-18,"$10,867,723"
65,2017-09-25,"$9,018,130"
64,2017-10-02,"$9,212,926"
63,2017-10-09,"$10,357,027"
62,2017-10-16,"$12,879,615"
61,2017-10-23,"$11,346,202"
60,2017-10-30,"$11,687,685"
59,2017-11-06,"$11,112,327"
58,2017-11-13,"$11,675,546"
57,2017-11-20,"$9,565,998"
56,2017-11-27,"$8,086,981"
55,2017-12-04,"$8,242,915"
54,2017-12-11,"$13,858,943"
53,2017-12-18,"$27,258,560"
52,2017-12-25,"$15,494,831"
51,2018-01-01,"$4,917,393"
154,2018-01-08,"$13,601,322"
153,2018-01-15,"$8,442,149"
152,2018-01-22,"$9,734,164"
151,2018-01-29,"$9,332,999"
