,Date,Value
52,2016-01-04,"$22,212,905"
51,2016-01-11,"$13,062,456"
50,2016-01-18,"$13,103,478"
49,2016-01-25,"$10,512,865"
48,2016-02-01,"$14,361,958"
47,2016-02-08,"$21,269,016"
46,2016-02-15,"$14,664,759"
45,2016-02-22,"$16,979,841"
44,2016-02-29,"$15,873,730"
43,2016-03-07,"$13,464,676"
42,2016-03-14,"$11,382,124"
41,2016-03-21,"$8,239,781"
40,2016-03-28,"$12,372,643"
39,2016-04-04,"$7,187,358"
38,2016-04-11,"$7,676,452"
37,2016-04-18,"$8,346,837"
36,2016-04-25,"$6,890,403"
35,2016-05-02,"$23,176,691"
34,2016-05-09,"$18,093,872"
33,2016-05-16,"$20,374,758"
32,2016-05-23,"$16,326,775"
31,2016-05-30,"$16,639,546"
30,2016-06-06,"$19,418,040"
29,2016-06-13,"$20,463,087"
28,2016-06-20,"$17,399,268"
27,2016-06-27,"$14,735,912"
26,2016-07-04,"$15,655,228"
25,2016-07-11,"$19,242,497"
24,2016-07-18,"$22,026,983"
23,2016-07-25,"$32,010,199"
22,2016-08-01,"$36,861,298"
21,2016-08-08,"$36,698,920"
20,2016-08-15,"$34,534,123"
19,2016-08-22,"$22,932,261"
18,2016-08-29,"$16,994,198"
17,2016-09-05,"$11,326,114"
16,2016-09-12,"$17,306,846"
15,2016-09-19,"$32,170,578"
14,2016-09-26,"$9,225,936"
13,2016-10-03,"$20,651,763"
12,2016-10-10,"$15,356,910"
11,2016-10-17,"$17,728,024"
10,2016-10-24,"$17,280,964"
9,2016-10-31,"$25,486,045"
8,2016-11-07,"$13,770,978"
7,2016-11-14,"$11,317,965"
6,2016-11-21,"$15,667,567"
5,2016-11-28,"$14,961,683"
4,2016-12-05,"$14,286,015"
3,2016-12-12,"$18,461,012"
2,2016-12-19,"$16,734,465"
1,2016-12-26,"$27,779,328"
0,2017-01-02,"$21,902,584"
104,2017-01-09,"$19,858,407"
103,2017-01-16,"$18,982,033"
102,2017-01-23,"$22,300,804"
101,2017-01-30,"$30,873,846"
100,2017-02-06,"$16,979,795"
99,2017-02-13,"$17,743,885"
98,2017-02-20,"$16,230,137"
97,2017-02-27,"$16,605,315"
96,2017-03-06,"$15,732,538"
95,2017-03-13,"$12,363,472"
94,2017-03-20,"$17,030,471"
93,2017-03-27,"$18,924,193"
92,2017-04-03,"$14,847,538"
91,2017-04-10,"$9,397,698"
90,2017-04-17,"$12,453,401"
89,2017-04-24,"$8,934,797"
88,2017-05-01,"$13,404,219"
87,2017-05-08,"$23,867,393"
86,2017-05-15,"$15,331,842"
85,2017-05-22,"$15,535,377"
84,2017-05-29,"$18,104,261"
83,2017-06-05,"$16,975,869"
82,2017-06-12,"$16,409,842"
81,2017-06-19,"$12,324,774"
80,2017-06-26,"$14,762,719"
79,2017-07-03,"$12,250,517"
78,2017-07-10,"$29,415,814"
77,2017-07-17,"$16,220,480"
76,2017-07-24,"$19,374,631"
75,2017-07-31,"$31,805,319"
74,2017-08-07,"$33,503,444"
73,2017-08-14,"$31,872,351"
72,2017-08-21,"$31,960,787"
71,2017-08-28,"$18,146,264"
70,2017-09-04,"$14,447,272"
69,2017-09-11,"$15,369,075"
68,2017-09-18,"$11,080,077"
67,2017-09-25,"$9,313,016"
66,2017-10-02,"$23,233,775"
65,2017-10-09,"$32,300,797"
64,2017-10-16,"$14,727,375"
63,2017-10-23,"$14,451,707"
62,2017-10-30,"$22,398,165"
61,2017-11-06,"$16,437,352"
60,2017-11-13,"$13,992,127"
59,2017-11-20,"$13,253,512"
58,2017-11-27,"$14,461,526"
57,2017-12-04,"$14,768,784"
56,2017-12-11,"$13,345,499"
55,2017-12-18,"$19,891,433"
54,2017-12-25,"$34,523,094"
53,2018-01-01,"$36,168,896"
156,2018-01-08,"$28,307,559"
155,2018-01-15,"$25,448,598"
154,2018-01-22,"$27,083,493"
153,2018-01-29,"$18,509,776"
152,2018-02-05,"$15,634,527"
151,2018-02-12,"$12,618,161"
150,2018-02-19,"$39,957,723"
149,2018-02-26,"$13,472,683"
148,2018-03-05,"$13,013,886"
147,2018-03-12,"$12,808,281"
146,2018-03-19,"$12,052,242"
145,2018-03-26,"$14,034,886"
144,2018-04-02,"$19,443,759"
143,2018-04-09,"$14,894,401"
142,2018-04-16,"$14,676,146"
141,2018-04-23,"$8,888,243"
140,2018-04-30,"$40,265,075"
139,2018-05-07,"$22,600,392"
