,Date,Value
52,2016-01-07,"$260,670,818"
51,2016-01-14,"$190,991,525"
50,2016-01-21,"$205,683,379"
49,2016-01-28,"$129,331,831"
48,2016-02-04,"$146,877,028"
47,2016-02-11,"$98,437,500"
46,2016-02-18,"$296,080,748"
45,2016-02-25,"$157,561,659"
44,2016-03-03,"$119,143,297"
43,2016-03-10,"$182,230,212"
42,2016-03-17,"$162,361,817"
41,2016-03-24,"$160,619,298"
40,2016-03-31,"$325,666,509"
39,2016-04-07,"$153,564,815"
38,2016-04-14,"$115,682,844"
37,2016-04-21,"$210,976,113"
36,2016-04-28,"$152,328,345"
35,2016-05-05,"$121,133,026"
34,2016-05-12,"$291,503,831"
33,2016-05-19,"$158,035,135"
32,2016-05-26,"$168,833,570"
31,2016-06-02,"$236,011,076"
30,2016-06-09,"$174,025,875"
29,2016-06-16,"$198,378,169"
28,2016-06-23,"$345,659,071"
27,2016-06-30,"$272,137,537"
26,2016-07-07,"$291,553,354"
25,2016-07-14,"$304,656,108"
24,2016-07-21,"$228,684,954"
23,2016-07-28,"$263,801,214"
22,2016-08-04,"$260,357,510"
21,2016-08-11,"$311,633,928"
20,2016-08-18,"$225,808,846"
19,2016-08-25,"$158,392,118"
18,2016-09-01,"$125,815,574"
17,2016-09-08,"$99,986,588"
16,2016-09-15,"$106,356,361"
15,2016-09-22,"$94,941,085"
14,2016-09-29,"$120,828,346"
13,2016-10-06,"$132,901,713"
12,2016-10-13,"$130,863,569"
11,2016-10-20,"$113,024,865"
10,2016-10-27,"$141,663,312"
9,2016-11-03,"$99,997,914"
8,2016-11-10,"$236,056,509"
7,2016-11-17,"$181,563,018"
6,2016-11-24,"$246,995,267"
5,2016-12-01,"$206,096,604"
4,2016-12-08,"$108,153,495"
3,2016-12-15,"$97,054,247"
2,2016-12-22,"$327,391,706"
1,2016-12-29,"$425,787,155"
0,2017-01-05,"$276,755,601"
104,2017-01-12,"$166,028,358"
103,2017-01-19,"$173,560,332"
102,2017-01-26,"$158,473,129"
101,2017-02-02,"$142,754,460"
100,2017-02-09,"$99,044,614"
99,2017-02-16,"$235,189,400"
98,2017-02-23,"$186,990,395"
97,2017-03-02,"$141,705,398"
96,2017-03-09,"$222,698,213"
95,2017-03-16,"$205,667,563"
94,2017-03-23,"$336,315,430"
93,2017-03-30,"$254,888,561"
92,2017-04-06,"$210,753,353"
91,2017-04-13,"$150,992,825"
90,2017-04-20,"$209,224,835"
89,2017-04-27,"$116,914,535"
88,2017-05-04,"$102,775,494"
87,2017-05-11,"$232,845,232"
86,2017-05-18,"$160,091,852"
85,2017-05-25,"$155,812,824"
84,2017-06-01,"$204,615,474"
83,2017-06-08,"$257,016,845"
82,2017-06-15,"$200,098,913"
81,2017-06-22,"$270,857,018"
80,2017-06-29,"$194,423,904"
79,2017-07-06,"$259,130,961"
78,2017-07-13,"$290,710,500"
77,2017-07-20,"$231,379,299"
76,2017-07-27,"$260,932,805"
75,2017-08-03,"$204,439,850"
74,2017-08-10,"$158,461,111"
73,2017-08-17,"$139,713,151"
72,2017-08-24,"$107,985,954"
71,2017-08-31,"$67,568,343"
70,2017-09-07,"$70,774,174"
69,2017-09-14,"$199,506,124"
68,2017-09-21,"$133,837,531"
67,2017-09-28,"$137,416,039"
66,2017-10-05,"$103,429,957"
65,2017-10-12,"$136,220,939"
64,2017-10-19,"$115,420,822"
63,2017-10-26,"$100,470,457"
62,2017-11-02,"$78,627,030"
61,2017-11-09,"$212,660,354"
60,2017-11-16,"$174,174,745"
59,2017-11-23,"$315,310,226"
58,2017-11-30,"$219,075,893"
57,2017-12-07,"$127,798,857"
56,2017-12-14,"$94,995,347"
55,2017-12-21,"$382,968,772"
54,2017-12-28,"$423,670,362"
53,2018-01-04,"$300,881,692"
156,2018-01-11,"$188,503,584"
155,2018-01-18,"$187,542,971"
154,2018-01-25,"$137,579,638"
153,2018-02-01,"$132,347,194"
152,2018-02-08,"$89,083,583"
151,2018-02-15,"$161,482,194"
150,2018-02-22,"$389,216,230"
149,2018-03-01,"$228,624,483"
148,2018-03-08,"$177,489,850"
147,2018-03-15,"$172,712,657"
146,2018-03-22,"$161,814,321"
145,2018-03-29,"$162,297,990"
144,2018-04-05,"$171,018,108"
143,2018-04-12,"$184,706,683"
142,2018-04-19,"$171,931,933"
141,2018-04-26,"$137,499,327"
140,2018-05-03,"$399,667,945"
139,2018-05-10,"$208,377,426"
138,2018-05-17,"$165,026,530"
137,2018-05-24,"$269,319,118"
136,2018-05-31,"$264,374,930"
135,2018-06-07,"$142,124,184"
134,2018-06-14,"$161,608,590"
133,2018-06-21,"$384,190,451"
132,2018-06-28,"$393,429,705"
131,2018-07-05,"$286,719,888"
130,2018-07-12,"$258,637,337"
129,2018-07-19,"$235,108,274"
128,2018-07-26,"$244,919,938"
127,2018-08-02,"$224,339,388"
126,2018-08-09,"$185,502,196"
125,2018-08-16,"$187,279,615"
124,2018-08-23,"$164,325,498"
123,2018-08-30,"$120,290,722"
122,2018-09-06,"$112,931,144"
121,2018-09-13,"$138,857,002"
120,2018-09-20,"$126,406,042"
119,2018-09-27,"$102,360,596"
118,2018-10-04,"$117,890,375"
117,2018-10-11,"$238,268,742"
116,2018-10-18,"$168,167,013"
115,2018-10-25,"$201,740,323"
